#List of every sound and if it should be synced;;;
#Eventpath;Should be synced;Should ignore subroot;Sound radius
;;;
event:/creature/warper/portal_close;false;false;0
event:/creature/warper/portal_open;false;false;0
event:/creature/warper/swipe;false;false;0
event:/env/antechamber_lights_on;false;false;0
event:/env/antechamber_pillar_down;false;false;0
event:/env/antechamber_pillar_up;false;false;0
event:/env/antechamber_scan_end;false;false;0
event:/env/antechamber_scan_loop;false;false;0
event:/env/antechamber_scan_start;false;false;0
event:/env/background/arctic_background;false;false;0
event:/env/background/blood_kelp_background;false;false;0
event:/env/background/crash_zone;false;false;0
event:/env/background/debris_fall_fire;false;false;0
event:/env/background/dunes_background;false;false;0
event:/env/background/fire;false;false;0
event:/env/background/floating_islands_background;false;false;0
event:/env/background/generator_room;false;false;0
event:/env/background/grandreef_background;false;false;0
event:/env/background/grasy_background;false;false;0
event:/env/background/jellyshroom_caves;false;false;0
event:/env/background/kelp_background;false;false;0
event:/env/background/koosh_background;false;false;0
event:/env/background/lava_background;false;false;0
event:/env/background/lava_river_loop;false;false;0
event:/env/background/lost_river_background;false;false;0
event:/env/background/mountain_underwater;false;false;0
event:/env/background/mushroom_background;false;false;0
event:/env/background/prec_aquarium;false;false;0
event:/env/background/prec_base_background;false;false;0
event:/env/background/prec_cave_loop;false;false;0
event:/env/background/prec_generator_room_ambience;false;false;0
event:/env/background/reef_background;false;false;0
event:/env/background/shake;false;false;0
event:/env/background/ship_ambience;false;false;0
event:/env/background/ship_explode;false;false;0
event:/env/background/ship_explode_2;false;false;0
event:/env/background/sparse_reef_background;false;false;0
event:/env/background/surface_generic_background;false;false;0
event:/env/background/tredpath;false;false;0
event:/env/background/underislands_background;false;false;0
event:/env/background/wreak_ambience_big;false;false;0
event:/env/bubble_pop;false;false;0
event:/env/bubble_pop_player;false;false;0
event:/env/close_underwater_door;false;false;0
event:/env/creature_teleport;false;false;0
event:/env/damage/acid_loop;false;false;0
event:/env/green_artifact_loop;false;false;0
event:/env/gun_return;false;false;0
event:/env/gun_turn;false;false;0
event:/env/incubator_egg_hatch;false;false;0
event:/env/incubator_powerup;false;false;0
event:/env/input_number;false;false;0
event:/env/keypad_correct;false;false;0
event:/env/keypad_door_open;false;false;0
event:/env/keypad_wrong;false;false;0
event:/env/koosh_ball_death;false;false;0
event:/env/koosh_ball_spores;false;false;0
event:/env/music/antechamber_music;false;false;0
event:/env/music/arctic_background_music;false;false;0
event:/env/music/aurora_reveal;false;false;0
event:/env/music/blood_kelp_background_music;false;false;0
event:/env/music/crash_zone_music;false;false;0
event:/env/music/death_music;false;false;0
event:/env/music/dunes_background_music;false;false;0
event:/env/music/exo_room_music;false;false;0
event:/env/music/firefighting_music;false;false;0
event:/env/music/floating_islands_background_music;false;false;0
event:/env/music/generator_room_music;false;false;0
event:/env/music/grandreef_background_music;false;false;0
event:/env/music/grasy_background_music;false;false;0
event:/env/music/hatch_music;false;false;0
event:/env/music/jellyshroom_caves_music;false;false;0
event:/env/music/kelp_background_music;false;false;0
event:/env/music/koosh_background_music;false;false;0
event:/env/music/lava_background_music;false;false;0
event:/env/music/lost_river_background_music;false;false;0
event:/env/music/lost_river_ghost_tree;false;false;0
event:/env/music/lostriver_tree;false;false;0
event:/env/music/mountain_underwater_music;false;false;0
event:/env/music/mushroom_background_music;false;false;0
event:/env/music/prec_aquarium_music;false;false;0
event:/env/music/prec_base_background_music;false;false;0
event:/env/music/prec_cave_music;false;false;0
event:/env/music/reef_background_music;false;false;0
event:/env/music/ship_ambience_music;false;false;0
event:/env/music/sparse_reef_background_music;false;false;0
event:/env/music/tredpath_music;false;false;0
event:/env/music/underislands_background_music;false;false;0
event:/env/music/wreak_ambience_big_music;false;false;0
event:/env/music/zen_music;false;false;0
event:/env/open_underwater_door;false;false;0
event:/env/pink_artifact_loop;false;false;0
event:/env/pipe_room_pipes_loop;false;false;0
event:/env/plant_cut;false;false;0
event:/env/power_teleporter;false;false;0
event:/env/prec_artifact_loop;false;false;0
event:/env/prec_foce_field_deactivate;false;false;0
event:/env/prec_forcefield_loop;false;false;0
event:/env/prec_light_on;false;false;0
event:/env/prec_light_on_2;false;false;0
event:/env/prec_pillar_down;false;false;0
event:/env/prec_pillar_up;false;false;0
event:/env/prec_vent_enter;false;false;0
event:/env/prec_vent_exit;false;false;0
event:/env/prec_vent_loop;false;false;0
event:/env/shroom_in;false;false;0
event:/env/shroom_out;false;false;0
event:/env/splash;false;false;0
event:/env/teleporter_on_loop;false;false;0
event:/env/use_teleporter_use_loop;false;false;0
event:/env/weather;false;false;0
event:/interface/option_tweek;false;false;0
event:/interface/select;false;false;0
event:/interface/text_type;false;false;0
event:/loot/break_breakable;false;false;0
event:/loot/databox/box_open;true;false;20
event:/loot/floater/floater_hold_loop;false;false;0
event:/loot/hit_breakable;false;false;0
event:/loot/loot_locker_open;false;false;0
event:/loot/new_PDA_data;false;false;0
event:/loot/pickup_copper;false;false;0
event:/loot/pickup_glass;false;false;0
event:/loot/pickup_gold;false;false;0
event:/loot/pickup_quartz;false;false;0
event:/loot/pickup_salt;false;false;0
event:/loot/pickup_scrapmetal;false;false;0
event:/loot/pickup_silver;false;false;0
event:/loot/pickup_tank;false;false;0
event:/loot/prec_crystal_loop;false;false;0
event:/main_menu/credits_music;false;false;0
event:/main_menu/intro_cin;false;false;0
event:/main_menu/intro_cin_music;false;false;0
event:/main_menu/menu_background;false;false;0
event:/main_menu/music;false;false;0
event:/main_menu/unmute_all;false;false;0
event:/player/adviseSelfScan;false;false;0
event:/player/aurora_warning_1;false;false;0
event:/player/aurora_warning_2;false;false;0
event:/player/aurora_warning_3;false;false;0
event:/player/breathing;true;false;20
event:/player/bubbles;true;false;20
event:/player/cold_damage;true;false;20
event:/player/coughing;true;false;20
event:/player/cube terminal_close;false;false;0
event:/player/cube terminal_open;false;false;0
event:/player/cube terminal_use;false;false;0
event:/player/data_terminal_use;false;false;0
event:/player/depth_100;false;false;0
event:/player/depth_200;false;false;0
event:/player/elevator_down;false;false;0
event:/player/elevator_up;false;false;0
event:/player/enzyme_cure;false;false;0
event:/player/food_critical;false;false;0
event:/player/food_low;false;false;0
event:/player/food_very_low;false;false;0
event:/player/footstep_dirt;true;false;20
event:/player/footstep_metal;true;false;20
event:/player/footstep_precursor_base;true;false;20
event:/player/goal_airsack;false;false;0
event:/player/goal_BiomeKelpForest;false;false;0
event:/player/goal_BiomePrecursorGunUpper;false;false;0
event:/player/goal_BiomePrecursorGunUpper2;false;false;0
event:/player/goal_BiomePrecursorGunUpper3;false;false;0
event:/player/goal_BiomePrecursorGunUpper4;false;false;0
event:/player/goal_Bladderfish;false;false;0
event:/player/goal_CookedPeeper;false;false;0
event:/player/goal_Copper;false;false;0
event:/player/goal_Fins;false;false;0
event:/player/goal_Knife;false;false;0
event:/player/goal_lifepod2;false;false;0
event:/player/goal_lifepod3;false;false;0
event:/player/goal_PDALoading;false;false;0
event:/player/goal_Scanner;false;false;0
event:/player/gun_door_open;false;false;0
event:/player/gun_door_sick;false;false;0
event:/player/gunterminal_access_denied;true;false;20
event:/player/gunterminal_access_granted;true;false;20
event:/player/gunterminal_close;true;false;20
event:/player/gunterminal_first_use;true;false;20
event:/player/gunterminal_open_loop;true;false;20
event:/player/gunterminal_use;true;false;20
event:/player/gunterminal_use_healed;true;false;20
event:/player/hand_infection_cin;false;false;0
event:/player/hatch_eggs;false;false;0
event:/player/heat_damage;true;false;20
event:/player/infection_heal_cin;false;false;0
event:/player/infection_scan_advise_full;false;false;0
event:/player/invalid_construction;false;false;0
event:/player/inventory_secured;false;false;0
event:/player/jump;true;false;20
event:/player/key terminal_close;false;false;0
event:/player/key terminal_open;false;false;0
event:/player/key_terminal_use;false;false;0
event:/player/new_creature;false;false;0
event:/player/oxygen_10_sec;false;false;0
event:/player/oxygen_30_sec;false;false;0
event:/player/Pain;true;false;20
event:/player/Pain_no_tank;true;false;20
event:/player/pain_no_tank_light;true;false;20
event:/player/Pain_surface;true;false;20
event:/player/Precursor_Gun_ControlRoom;false;false;0
event:/player/Precursor_Gun_DisableDenied;false;false;0
event:/player/Precursor_Gun_LostRiverHint;false;false;0
event:/player/Precursor_LostRiverBase_Log_1;false;false;0
event:/player/Precursor_LostRiverBase_Log_2;false;false;0
event:/player/Precursor_LostRiverBase_Log_4;false;false;0
event:/player/Precursor_LostRiverBase_Log_5;false;false;0
event:/player/Precursor_LostRiverBase_Log_6;false;false;0
event:/player/Precursor_LostRiverBase_Log_7;false;false;0
event:/player/radiation;false;false;0
event:/player/radiation_fix;false;false;0
event:/player/radiation_remaining;false;false;0
event:/player/selfScan1;false;false;0
event:/player/selfScan2;false;false;0
event:/player/selfScan3;false;false;0
event:/player/selfScan3b;false;false;0
event:/player/selfScan4;false;false;0
event:/player/selfScan5;false;false;0
event:/player/signal_upload;false;false;0
event:/player/start_freedive;false;false;0
event:/player/start_freedive_splash;true;false;30
event:/player/step;true;false;20
event:/player/stillsuit_equipped;false;false;0
event:/player/story/Aurora_RingRoom_Terminal2;false;false;0
event:/player/story/Ency_Aurora_RingRoom_Terminal3;false;false;0
event:/player/story/Ending_zinger;false;false;0
event:/player/story/Goal_BaseWindow;false;false;0
event:/player/story/Goal_Bench;false;false;0
event:/player/story/Goal_BiomeBloodKelp;false;false;0
event:/player/story/Goal_BiomeBloodKelp2;false;false;0
event:/player/story/Goal_BiomeCrashedShip;false;false;0
event:/player/story/Goal_BiomeCrashZone;false;false;0
event:/player/story/Goal_BiomeDeepGrandReef;false;false;0
event:/player/story/Goal_BiomeDunes;false;false;0
event:/player/story/Goal_BiomeFloatingIsland;false;false;0
event:/player/story/Goal_BiomeGrassyPlateaus;false;false;0
event:/player/story/Goal_BiomeJellyCave;false;false;0
event:/player/story/Goal_BiomeJellyCave2;false;false;0
event:/player/story/Goal_BiomeKelpForestCave;false;false;0
event:/player/story/Goal_BiomeKooshZone;false;false;0
event:/player/story/Goal_BiomeLostRiver;false;false;0
event:/player/story/Goal_BiomeMountainCave;false;false;0
event:/player/story/Goal_BiomeMountains;false;false;0
event:/player/story/Goal_BiomeMushroomForest;false;false;0
event:/player/story/Goal_BiomeMushroomForestCave;false;false;0
event:/player/story/Goal_BiomeSafeShallowsCave;false;false;0
event:/player/story/Goal_BiomeSeaTreaderPath;false;false;0
event:/player/story/Goal_BiomeSparseReef;false;false;0
event:/player/story/Goal_BiomeUnderwaterIslands;false;false;0
event:/player/story/Goal_BiomeVoid;false;false;0
event:/player/story/Goal_Bioreactor;false;false;0
event:/player/story/Goal_Bleach;false;false;0
event:/player/story/Goal_Builder;false;false;0
event:/player/story/Goal_CookedGarryfish;false;false;0
event:/player/story/Goal_CookedHoverfish;false;false;0
event:/player/story/Goal_Cyclops;false;false;0
event:/player/story/Goal_Diamond;false;false;0
event:/player/story/Goal_Exo;false;false;0
event:/player/story/Goal_FarmingTray;false;false;0
event:/player/story/Goal_JellyCaveEntrance;false;false;0
event:/player/story/Goal_Location AuroraDriveInterior;false;false;0
event:/player/story/Goal_LocationAuroraDriveEntry;false;false;0
event:/player/story/Goal_LocationAuroraEntry;false;false;0
event:/player/story/Goal_LocationAuroraExoRoom;false;false;0
event:/player/story/Goal_LocationAuroraFurtherIn;false;false;0
event:/player/story/Goal_LocationAuroraHallway;false;false;0
event:/player/story/Goal_LocationAuroraInterior;false;false;0
event:/player/story/Goal_LostRiverEntrance;false;false;0
event:/player/story/Goal_Lubricant;false;false;0
event:/player/story/Goal_Moonpool;false;false;0
event:/player/story/Goal_NuclearReactor;false;false;0
event:/player/story/Goal_Observatory;false;false;0
event:/player/story/Goal_PurifiedWater;false;false;0
event:/player/story/Goal_RadSuit;false;false;0
event:/player/story/Goal_Room;false;false;0
event:/player/story/Goal_Seaglide;false;false;0
event:/player/story/Goal_Seamoth;false;false;0
event:/player/story/Goal_SecondarySystems;false;false;0
event:/player/story/Goal_Silver;false;false;0
event:/player/story/Goal_StasisRifle;false;false;0
event:/player/story/Goal_UnlockRadSuit;false;false;0
event:/player/story/Goal_WaterPark;false;false;0
event:/player/story/OvereatingWarning;false;false;0
event:/player/story/PDASunbeamDestroyEventOutOfRange;false;false;0
event:/player/story/Precursor_Gun_Disabled;false;false;0
event:/player/story/Precursor_LavaCastle_Log1;false;false;0
event:/player/story/Precursor_LavaCastle_Log2;false;false;0
event:/player/story/Precursor_LavaCastle_Log3;false;false;0
event:/player/story/Precursor_LavaCastle_Log4;false;false;0
event:/player/story/Precursor_Prison_Antechamber_Log1;false;false;0
event:/player/story/Precursor_Prison_Aquarium_EnvironmentLog1;false;false;0
event:/player/story/Precursor_Prison_Aquarium_EnvironmentLog2;false;false;0
event:/player/story/Precursor_Prison_Aquarium_EnvironmentLog3;false;false;0
event:/player/story/Precursor_Prison_Aquarium_EnvironmentLog4;false;false;0
event:/player/story/Precursor_Prison_Aquarium_EnvironmentLog5;false;false;0
event:/player/story/Precursor_Prison_ExteriorLog1;false;false;0
event:/player/story/Precursor_Prison_MoonPool_Log1;false;false;0
event:/player/story/RadioCaptainsQuartersCode;false;false;0
event:/player/story/RadioGrassy25NoSignalAlt;false;false;0
event:/player/story/RadioKelp28NoSignalAlt;false;false;0
event:/player/story/RadioMushroom24NoSignalAlt;false;false;0
event:/player/story/RadioPrecursor1;false;false;0
event:/player/story/RadioRadiationSuitNoSignalAlt;false;false;0
event:/player/story/RadioShallows22NoSignalAlt;false;false;0
event:/player/story/RadioWarper1;false;false;0
event:/player/story/RadioWarper2;false;false;0
event:/player/story/Rocket_ReadyGunStillActive;false;false;0
event:/player/story/Story_AuroraConsole2;false;false;0
event:/player/story/Story_AuroraConsole3;false;false;0
event:/player/story/VO/Ency_Aurora_Cargo_PDA2;false;false;0
event:/player/story/VO/Ency_Aurora_Living_Area_PDA2b;false;false;0
event:/player/story/VO/Ency_DeepPDA1;false;false;0
event:/player/story/VO/Ency_DeepPDA2;false;false;0
event:/player/story/VO/Ency_DeepPDA3;false;false;0
event:/player/story/VO/Ency_DeepPDA4;false;false;0
event:/player/story/VO/Ency_InnerBiomeWreckLore7;false;false;0
event:/player/story/VO/Ency_IslandsPDABase1a;false;false;0
event:/player/story/VO/Ency_IslandsPDABase1bDesk;false;false;0
event:/player/story/VO/Ency_IslandsPDABase1Desk;false;false;0
event:/player/story/VO/Ency_IslandsPDABase1Interior;false;false;0
event:/player/story/VO/Ency_IslandsPDAExterior;false;false;0
event:/player/story/VO/Ency_JellyPDABrokenCorridor;false;false;0
event:/player/story/VO/Ency_JellyPDAExterior;false;false;0
event:/player/story/VO/Ency_JellyPDAObservatory;false;false;0
event:/player/story/VO/Ency_JellyPDARoom1Desk;false;false;0
event:/player/story/VO/Ency_JellyPDARoom1Locker;false;false;0
event:/player/story/VO/Ency_JellyPDARoom2Desk;false;false;0
event:/player/story/VO/Ency_JellyPDARoom2Locker;false;false;0
event:/player/story/VO/Ency_Lifepod1;false;false;0
event:/player/story/VO/Ency_Lifepod2;false;false;0
event:/player/story/VO/Ency_Lifepod3;false;false;0
event:/player/story/VO/Ency_Lifepod4;false;false;0
event:/player/story/VO/Ency_LifepodCrashZone1;false;false;0
event:/player/story/VO/Ency_LifepodCrashZone2;false;false;0
event:/player/story/VO/Ency_LifepodDecoy;false;false;0
event:/player/story/VO/Ency_LifepodKeenDialog;false;false;0
event:/player/story/VO/Ency_LifepodRandom;false;false;0
event:/player/story/VO/Ency_LifepodSeaglide;false;false;0
event:/player/story/VO/Ency_OuterBiomeWreckLore9;false;false;0
event:/player/story/VO/Ency_RendezvousFloatingIsland;false;false;0
event:/player/story/VO/RadioBloodKelp29;false;false;0
event:/player/story/VO/RadioGrassy21;false;false;0
event:/player/story/VO/RadioGrassy25;false;false;0
event:/player/story/VO/RadioKelp28;false;false;0
event:/player/story/VO/RadioMushroom24;false;false;0
event:/player/story/VO/RadioRadiationSuit (male);false;false;0
event:/player/story/VO/RadioSecondOfficer;false;false;0
event:/player/story/VO/RadioShallows22;false;false;0
event:/player/surface;false;false;20
event:/player/surface_no_air;false;false;20
event:/player/surface_tank;false;false;20
event:/player/swim_surface;false;false;20
event:/player/swim_underwater;true;false;20
event:/player/vitals_ok;false;false;0
event:/player/water_critical;false;false;0
event:/player/water_low;false;false;0
event:/player/water_very_low;false;false;0
event:/sub/base/AI_nopower;false;false;0
event:/sub/base/base_background;false;false;0
event:/sub/base/bioreactor_hatch_close;true;true;20
event:/sub/base/bioreactor_hatch_open;true;true;20
event:/sub/base/bulkhead_close_back;true;true;20
event:/sub/base/bulkhead_close_front;true;true;20
event:/sub/base/bulkhead_open_back;true;true;20
event:/sub/base/bulkhead_open_front;true;true;20
event:/sub/base/coffeemachine_idle;true;false;20
event:/sub/base/enter_hatch;true;true;20
event:/sub/base/enter_seamoth_left;true;true;20
event:/sub/base/enter_seamoth_right;true;true;20
event:/sub/base/exit_hatch;true;true;20
event:/sub/base/hull_breach;false;false;0
event:/sub/base/hull_restored;false;false;0
event:/sub/base/make_coffee;true;false;30
event:/sub/base/map room/apear;false;false;0
event:/sub/base/map room/map_room_background;false;false;0
event:/sub/base/map room/scan;false;false;0
event:/sub/base/map room/select;false;false;0
event:/sub/base/medkit_locker/close;true;false;20
event:/sub/base/medkit_locker/open;true;false;20
event:/sub/base/nuke_gen_loop;false;false;0
event:/sub/base/power_down;false;false;0
event:/sub/base/power_down_3D;false;false;0
event:/sub/base/power_loop;false;false;0
event:/sub/base/power_off;false;false;0
event:/sub/base/power_structure_damage;false;false;0
event:/sub/base/power_transmitter_death;false;false;0
event:/sub/base/power_up;false;false;0
event:/sub/base/power_up_3D;false;false;0
event:/sub/base/pressure_damage_heavy;false;false;0
event:/sub/base/pressure_damage_light;false;false;0
event:/sub/base/pressure_damage_medium;false;false;0
event:/sub/base/seamoth_dock;false;false;0
event:/sub/base/solar_panel_death;false;false;0
event:/sub/base/thermal_plant_death;false;false;0
event:/sub/base/vendingmachine_use;true;false;20
event:/sub/base/water_filter_loop;false;false;0
event:/sub/base/water_filter_spawn;false;false;0
event:/sub/base/water_filter_spawn_bottle;false;false;0
event:/sub/base/welcome;false;false;0
event:/sub/common/fishsplat;false;false;0
event:/sub/common/splash_in_and_out;false;false;0
event:/sub/common/sub_splash;false;false;0
event:/sub/cyclops/AI_abandon;false;false;0
event:/sub/cyclops/AI_ahead_flank;false;false;0
event:/sub/cyclops/AI_ahead_slow;false;false;0
event:/sub/cyclops/AI_ahead_standard;false;false;0
event:/sub/cyclops/AI_attack;false;false;0
event:/sub/cyclops/AI_cavitate;false;false;0
event:/sub/cyclops/AI_decoy;false;false;0
event:/sub/cyclops/AI_depth_update_1;false;false;0
event:/sub/cyclops/AI_depth_update_2;false;false;0
event:/sub/cyclops/AI_depth_warning_1;false;false;0
event:/sub/cyclops/AI_depth_warning_2;false;false;0
event:/sub/cyclops/AI_drain;false;false;0
event:/sub/cyclops/AI_engine_down;false;false;0
event:/sub/cyclops/AI_engine_heat_critical;false;false;0
event:/sub/cyclops/AI_engine_overheat;false;false;0
event:/sub/cyclops/AI_engine_up;false;false;0
event:/sub/cyclops/AI_external_damage;false;false;0
event:/sub/cyclops/AI_fire_detected;false;false;0
event:/sub/cyclops/AI_fire_extinguished;false;false;0
event:/sub/cyclops/AI_fire_system;false;false;0
event:/sub/cyclops/AI_hull_crit;false;false;0
event:/sub/cyclops/AI_hull_low;false;false;0
event:/sub/cyclops/AI_leak;false;false;0
event:/sub/cyclops/AI_no_power;false;false;0
event:/sub/cyclops/AI_silent_running;false;false;0
event:/sub/cyclops/AI_system_failure;false;false;0
event:/sub/cyclops/AI_welcome;false;false;0
event:/sub/cyclops/AI_welcome_attention;false;false;0
event:/sub/cyclops/climb_back_down;true;false;20
event:/sub/cyclops/climb_back_up;true;false;20
event:/sub/cyclops/climb_front_down;true;false;20
event:/sub/cyclops/climb_front_up;true;false;20
event:/sub/cyclops/control_room_ambience;false;false;0
event:/sub/cyclops/creature_attack_sfx;false;false;0
event:/sub/cyclops/cyclops_door_close;true;true;20
event:/sub/cyclops/cyclops_door_open;true;true;20
event:/sub/cyclops/cyclops_helm_door_open;true;true;20
event:/sub/cyclops/cyclops_loop_epic_fast;false;false;0
event:/sub/cyclops/cyclops_loop_fast;false;false;0
event:/sub/cyclops/cyclops_loop_normal;false;false;0
event:/sub/cyclops/cyclops_loop_rpm;false;false;0
event:/sub/cyclops/cyclops_loop_slow;false;false;0
event:/sub/cyclops/decoy_loop;false;false;0
event:/sub/cyclops/docking_doors_close;false;false;0
event:/sub/cyclops/docking_doors_open;false;false;0
event:/sub/cyclops/docking_hatch_open;false;false;0
event:/sub/cyclops/engine_room;false;false;0
event:/sub/cyclops/enter_hatch;true;true;20
event:/sub/cyclops/explode;false;false;0
event:/sub/cyclops/floodlights_off;false;false;0
event:/sub/cyclops/floodlights_on;false;false;0
event:/sub/cyclops/horn;true;true;500
event:/sub/cyclops/impact_solid_hard;false;false;0
event:/sub/cyclops/impact_solid_medium;false;false;0
event:/sub/cyclops/impact_solid_soft;false;false;0
event:/sub/cyclops/install_mod;false;false;0
event:/sub/cyclops/leak_loop;false;false;0
event:/sub/cyclops/lights_off;false;false;0
event:/sub/cyclops/lights_on;false;false;0
event:/sub/cyclops/load_decoy;false;false;0
event:/sub/cyclops/locker_close;true;true;20
event:/sub/cyclops/locker_open;true;true;20
event:/sub/cyclops/outer_hatch_close;true;true;20
event:/sub/cyclops/outer_hatch_open;true;true;20
event:/sub/cyclops/proximity;false;false;0
event:/sub/cyclops/shield_on_loop;false;false;0
event:/sub/cyclops/siren;false;false;0
event:/sub/cyclops/siren_3d;false;false;0
event:/sub/cyclops/sonar;false;false;0
event:/sub/cyclops/start;false;false;0
event:/sub/cyclops/sub_ambieance;false;false;0
event:/sub/drone/change_camera;false;false;0
event:/sub/drone/connected;false;false;0
event:/sub/drone/connecting_loop;false;false;0
event:/sub/drone/idle;false;false;0
event:/sub/drone/motor_loop;false;false;0
event:/sub/exo/claw_hit_fish;true;true;20
event:/sub/exo/claw_hit_terain;true;true;20
event:/sub/exo/claw_pickup;true;true;20
event:/sub/exo/claw_punch;false;false;20
event:/sub/exo/dock_exo_cyclops;false;false;0
event:/sub/exo/dock_exo_moonpool;false;false;0
event:/sub/exo/drill_hit_loop;true;true;20
event:/sub/exo/drill_loop;true;true;20
event:/sub/exo/enter_exo;false;false;0
event:/sub/exo/hook_hit;true;true;20
